AlbumId,Title,Name,ArtistId
1,For Those About To Rock We Salute You,AC/DC,1
4,Let There Be Rock,AC/DC,1
2,Balls to the Wall,Accept,2
3,Restless and Wild,Accept,2
5,Big Ones,Aerosmith,3
6,Jagged Little Pill,Alanis Morissette,4
7,Facelift,Alice In Chains,5
8,Warner 25 Anos,Antônio Carlos Jobim,6
34,Chill: Brazil (Disc 2),Antônio Carlos Jobim,6
9,Plays Metallica By Four Cellos,Apocalyptica,7
10,Audioslave,Audioslave,8
11,Out Of Exile,Audioslave,8
271,Revelations,Audioslave,8
12,BackBeat Soundtrack,BackBeat,9
13,The Best Of Billy Cobham,Billy Cobham,10
14,Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society,11
15,Alcohol Fueled Brewtality Live! [Disc 2],Black Label Society,11
16,Black Sabbath,Black Sabbath,12
17,Black Sabbath Vol. 4 (Remaster),Black Sabbath,12
18,Body Count,Body Count,13
19,Chemical Wedding,Bruce Dickinson,14
20,The Best Of Buddy Guy - The Millenium Collection,Buddy Guy,15
21,Prenda Minha,Caetano Veloso,16
22,Sozinho Remix Ao Vivo,Caetano Veloso,16
23,Minha Historia,Chico Buarque,17
24,Afrociberdelia,Chico Science & Nação Zumbi,18
25,Da Lama Ao Caos,Chico Science & Nação Zumbi,18
26,Acústico MTV [Live],Cidade Negra,19
27,Cidade Negra - Hits,Cidade Negra,19
28,Na Pista,Cláudio Zoli,20
29,Axé Bahia 2001,Various Artists,21
32,Carnaval 2001,Various Artists,21
45,Sambas De Enredo 2001,Various Artists,21
53,Vozes do MPB,Various Artists,21
30,BBC Sessions [Disc 1] [Live],Led Zeppelin,22
44,Physical Graffiti [Disc 1],Led Zeppelin,22
127,BBC Sessions [Disc 2] [Live],Led Zeppelin,22
128,Coda,Led Zeppelin,22
129,Houses Of The Holy,Led Zeppelin,22
130,In Through The Out Door,Led Zeppelin,22
131,IV,Led Zeppelin,22
132,Led Zeppelin I,Led Zeppelin,22
133,Led Zeppelin II,Led Zeppelin,22
134,Led Zeppelin III,Led Zeppelin,22
135,Physical Graffiti [Disc 2],Led Zeppelin,22
136,Presence,Led Zeppelin,22
137,The Song Remains The Same (Disc 1),Led Zeppelin,22
138,The Song Remains The Same (Disc 2),Led Zeppelin,22
31,Bongo Fury,Frank Zappa & Captain Beefheart,23
33,Chill: Brazil (Disc 1),Marcos Valle,24
85,As Canções de Eu Tu Eles,Gilberto Gil,27
86,Quanta Gente Veio Ver (Live),Gilberto Gil,27
87,Quanta Gente Veio ver--Bônus De Carnaval,Gilberto Gil,27
259,Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,O Rappa,36
47,The Best of Ed Motta,Ed Motta,37
71,Elis Regina-Minha História,Elis Regina,41
158,Milton Nascimento Ao Vivo,Milton Nascimento,42
159,Minas,Milton Nascimento,42
122,Jorge Ben Jor 25 Anos,Jorge Ben,46
35,Garage Inc. (Disc 1),Metallica,50
148,Black Album,Metallica,50
149,Garage Inc. (Disc 2),Metallica,50
150,Kill 'Em All,Metallica,50
151,Load,Metallica,50
152,Master Of Puppets,Metallica,50
153,ReLoad,Metallica,50
154,Ride The Lightning,Metallica,50
155,St. Anger,Metallica,50
156,...And Justice For All,Metallica,50
36,Greatest Hits II,Queen,51
185,Greatest Hits I,Queen,51
186,News Of The World,Queen,51
37,Greatest Kiss,Kiss,52
126,Unplugged [Live],Kiss,52
38,Heart of the Night,Spyro Gyra,53
204,Morning Dance,Spyro Gyra,53
39,International Superhits,Green Day,54
89,American Idiot,Green Day,54
40,Into The Light,David Coverdale,55
41,Meus Momentos,Gonzaguinha,56
42,Minha História,Os Mutantes,57
43,MK III The Final Concerts [Disc 1],Deep Purple,58
50,The Final Concerts (Disc 2),Deep Purple,58
58,Come Taste The Band,Deep Purple,58
59,Deep Purple In Rock,Deep Purple,58
60,Fireball,Deep Purple,58
61,Knocking at Your Back Door: The Best Of Deep Purple in the 80's,Deep Purple,58
62,Machine Head,Deep Purple,58
63,Purpendicular,Deep Purple,58
64,Slaves And Masters,Deep Purple,58
65,Stormbringer,Deep Purple,58
66,The Battle Rages On,Deep Purple,58
46,Supernatural,Santana,59
197,Santana - As Years Go By,Santana,59
198,Santana Live,Santana,59
48,The Essential Miles Davis [Disc 1],Miles Davis,68
49,The Essential Miles Davis [Disc 2],Miles Davis,68
157,Miles Ahead,Miles Davis,68
51,Up An' Atom,Gene Krupa,69
52,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius,70
247,Vinicius De Moraes,Vinícius De Moraes,72
54,"Chronicle, Vol. 1",Creedence Clearwater Revival,76
55,"Chronicle, Vol. 2",Creedence Clearwater Revival,76
56,Cássia Eller - Coleção Sem Limite [Disc 2],Cássia Eller,77
57,Cássia Eller - Sem Limite [Disc 1],Cássia Eller,77
67,Vault: Def Leppard's Greatest Hits,Def Leppard,78
68,Outbreak,Dennis Chambers,79
69,Djavan Ao Vivo - Vol. 02,Djavan,80
70,Djavan Ao Vivo - Vol. 1,Djavan,80
72,The Cream Of Clapton,Eric Clapton,81
73,Unplugged,Eric Clapton,81
74,Album Of The Year,Faith No More,82
75,Angel Dust,Faith No More,82
76,King For A Day Fool For A Lifetime,Faith No More,82
77,The Real Thing,Faith No More,82
78,Deixa Entrar,Falamansa,83
79,In Your Honor [Disc 1],Foo Fighters,84
80,In Your Honor [Disc 2],Foo Fighters,84
81,One By One,Foo Fighters,84
82,The Colour And The Shape,Foo Fighters,84
83,My Way: The Best Of Frank Sinatra [Disc 1],Frank Sinatra,85
84,Roda De Funk,Funk Como Le Gusta,86
88,Faceless,Godsmack,87
90,Appetite for Destruction,Guns N' Roses,88
91,Use Your Illusion I,Guns N' Roses,88
92,Use Your Illusion II,Guns N' Roses,88
93,Blue Moods,Incognito,89
94,A Matter of Life and Death,Iron Maiden,90
95,A Real Dead One,Iron Maiden,90
